Date,open,high,low,close,volume,Company
2024-04-08,2923.4,2980.5,2923.4,2971.0,148392,RELIANCE
2024-04-05,2928.0,2941.5,2911.9,2919.95,431312,RELIANCE
2024-04-04,2958.55,2958.55,2900.5,2926.45,104590,RELIANCE
2024-04-03,2966.9,2966.9,2938.0,2942.4,127109,RELIANCE
2024-04-02,2969.5,2987.9,2950.0,2971.3,118525,RELIANCE
2024-04-01,2985.0,2988.5,2965.0,2969.5,229355,RELIANCE
2024-03-28,2994.35,3011.25,2959.0,2976.8,422263,RELIANCE
2024-03-27,2899.65,2999.9,2897.9,2987.85,471025,RELIANCE
2024-03-26,2888.6,2905.25,2877.0,2884.15,943865,RELIANCE
2024-03-22,2897.05,2920.0,2895.35,2909.9,562484,RELIANCE
2024-03-21,2891.4,2915.0,2889.65,2901.3,77091,RELIANCE
2024-03-20,2851.05,2890.2,2848.05,2886.8,152906,RELIANCE
2024-03-19,2865.6,2873.6,2835.0,2850.75,128206,RELIANCE
2024-03-18,2837.2,2883.0,2833.65,2878.35,146410,RELIANCE
2024-03-15,2854.95,2866.45,2826.9,2837.25,396001,RELIANCE
2024-03-14,2865.0,2897.35,2851.0,2865.25,162637,RELIANCE
2024-03-13,2955.45,2965.95,2855.85,2864.7,97957,RELIANCE
2024-03-12,2932.0,2976.3,2932.0,2950.2,83500,RELIANCE
2024-03-11,2984.7,2984.7,2927.35,2931.2,111587,RELIANCE
2024-03-07,3002.15,3005.9,2951.25,2958.1,387052,RELIANCE
2024-03-06,2989.45,3019.0,2957.0,3005.95,110021,RELIANCE
2024-03-05,3011.7,3011.7,2973.0,2998.3,70928,RELIANCE
2024-03-04,2981.0,3024.8,2975.05,3011.6,139795,RELIANCE
2024-03-01,2916.7,2999.0,2916.7,2986.0,544407,RELIANCE
2024-02-29,2931.05,2958.0,2909.55,2924.75,192376,RELIANCE
2024-02-28,2964.9,2982.0,2900.55,2909.0,64333,RELIANCE
2024-02-27,2968.8,2999.85,2956.0,2970.4,83211,RELIANCE
2024-02-26,2989.75,2989.75,2964.55,2974.35,40874,RELIANCE
2024-02-23,2971.4,2996.15,2965.25,2986.35,653001,RELIANCE
2024-02-22,2937.95,2969.1,2916.0,2963.35,212597,RELIANCE
2024-02-21,2943.85,2977.0,2916.15,2938.2,103405,RELIANCE
2024-02-20,2949.9,2949.9,2924.0,2940.75,104430,RELIANCE
2024-02-19,2921.35,2958.8,2907.55,2946.15,163441,RELIANCE
2024-02-16,2945.05,2953.3,2917.35,2921.35,542931,RELIANCE
2024-02-15,2963.4,2968.4,2932.9,2941.9,81881,RELIANCE
2024-02-14,2911.4,2966.6,2911.4,2962.6,122707,RELIANCE
2024-02-13,2910.4,2957.8,2909.4,2928.95,322902,RELIANCE
2024-02-12,2922.3,2922.35,2885.0,2902.95,147206,RELIANCE
2024-02-09,2905.0,2944.15,2902.6,2922.3,812171,RELIANCE
2024-02-08,2895.6,2919.75,2856.7,2902.95,98849,RELIANCE
2024-02-07,2870.0,2898.0,2858.45,2883.4,320512,RELIANCE
2024-02-06,2887.4,2887.4,2840.8,2856.8,115081,RELIANCE
2024-02-05,2921.2,2940.0,2864.0,2877.05,128072,RELIANCE
2024-02-02,2864.45,2949.9,2864.45,2914.75,653622,RELIANCE
2024-02-01,2871.2,2885.25,2836.7,2852.7,88274,RELIANCE
2024-01-31,2811.45,2869.45,2804.95,2853.2,108704,RELIANCE
2024-01-30,2905.4,2917.95,2808.75,2814.85,303348,RELIANCE
2024-01-29,2713.2,2905.0,2713.2,2896.15,823950,RELIANCE
2024-01-25,2684.5,2725.0,2670.05,2710.35,2411115,RELIANCE
2024-01-24,2660.0,2699.0,2649.0,2688.7,273061,RELIANCE
2024-01-23,2732.15,2742.75,2645.0,2656.0,102297,RELIANCE
2024-01-19,2753.0,2753.0,2716.85,2735.05,483007,RELIANCE
2024-01-18,2700.0,2742.0,2700.0,2734.9,158982,RELIANCE
2024-01-17,2729.85,2772.0,2711.0,2722.8,115862,RELIANCE
2024-01-16,2781.85,2792.5,2741.0,2747.65,153804,RELIANCE
2024-01-15,2746.9,2792.65,2732.0,2787.5,121727,RELIANCE
2024-01-12,2718.4,2746.45,2691.55,2740.1,606506,RELIANCE
2024-01-11,2655.7,2724.95,2655.7,2718.4,344195,RELIANCE
2024-01-10,2580.6,2658.95,2577.3,2649.95,458001,RELIANCE
2024-01-09,2597.35,2607.05,2576.25,2580.6,140422,RELIANCE
2024-01-08,2612.4,2632.0,2568.3,2586.1,87501,RELIANCE
2024-01-05,2600.15,2619.45,2597.95,2606.75,465515,RELIANCE
2024-01-04,2589.4,2609.75,2580.0,2597.4,162584,RELIANCE
2024-01-03,2608.1,2634.0,2577.15,2582.95,107501,RELIANCE
2024-01-02,2587.65,2614.9,2573.5,2610.9,86186,RELIANCE
2024-01-01,2581.05,2606.0,2573.55,2589.85,67641,RELIANCE
2023-12-29,2608.05,2614.8,2579.15,2584.85,848448,RELIANCE
2023-12-28,2587.0,2611.35,2587.0,2605.8,183810,RELIANCE
2023-12-27,2578.5,2599.35,2572.25,2586.35,103806,RELIANCE
2023-12-26,2570.0,2592.9,2563.0,2577.5,90284,RELIANCE
2023-12-22,2562.2,2580.55,2548.0,2564.7,524558,RELIANCE
2023-12-21,2510.45,2572.5,2510.45,2562.2,364795,RELIANCE
2023-12-20,2560.3,2597.85,2520.0,2527.35,649409,RELIANCE
2023-12-19,2537.7,2573.0,2525.85,2558.45,234379,RELIANCE
2023-12-18,2494.2,2534.4,2491.05,2519.95,196178,RELIANCE
2023-12-15,2472.15,2499.95,2469.05,2495.2,681578,RELIANCE
2023-12-14,2453.0,2475.0,2442.7,2464.5,3647716,RELIANCE
2023-12-13,2427.75,2438.0,2406.3,2433.4,137296,RELIANCE
2023-12-12,2458.0,2464.9,2420.25,2423.95,98105,RELIANCE
2023-12-11,2452.15,2467.4,2452.15,2459.05,169515,RELIANCE
2023-12-08,2461.2,2475.7,2444.5,2456.2,1107109,RELIANCE
2023-12-07,2460.7,2461.05,2442.0,2457.6,2891485,RELIANCE
2023-12-06,2443.25,2473.6,2440.3,2460.7,130350,RELIANCE
2023-12-05,2433.0,2440.5,2421.35,2437.55,390820,RELIANCE
2023-12-04,2440.05,2445.0,2395.0,2421.0,6478365,RELIANCE
