Date,open,high,low,close,volume,SMA_10,EMA_10,RSI_14,Company_BAJFINANCE,Company_HDFCBANK,Company_ICICIBANK,Company_INFY,Company_ITC,Company_KOTAKBANK,Company_RELIANCE,Company_SBIN,Company_TCS
24-08-2021,3653,3668.75,3595.8501,3612.2,59758,1859.58,2076.740233,55.07630199,0,0,0,1,0,0,0,0,0
24-08-2021,6755,7046.8,6728.3,6978.75,158951,2405.105,2968.014736,61.0799491,0,0,0,0,0,0,1,0,0
24-08-2021,1715.2,1725,1692,1704.5,582069,2403.805,2738.284784,49.55372565,0,0,0,0,1,0,0,0,0
24-08-2021,1748,1755.6,1712.5,1720.75,227498,2534.95,2553.27846,46.60949417,0,1,0,0,0,0,0,0,0
24-08-2021,206.4,207,204.75,205.7,824469,2534.885,2126.446013,47.24789577,0,0,0,0,1,0,0,0,0
24-08-2021,410,418.8,408.3,417.55,610174,2508.38,1815.737647,48.01492642,0,0,0,0,1,0,0,0,0
24-08-2021,1972.6539,1998.1793,1964.9507,1989.8835,270903,2031.98335,1847.400529,50.46585198,0,1,0,0,0,0,0,0,0
25-08-2021,206,207.85,206,206.4,326638,1908.88335,1549.036797,49.65853555,0,0,0,0,0,1,0,0,0
25-08-2021,1715.2,1746.35,1715.2,1737.2,119692,1926.72835,1583.248288,52.46608066,0,0,0,0,0,0,0,0,1
25-08-2021,700,700.15,687.2,690.9,201859,1926.38335,1421.003145,50.01312952,0,0,0,0,0,0,0,0,1
25-08-2021,1990.704,2023.7046,1987.331,2007.6601,208006,1765.92936,1527.668046,41.16286778,0,0,0,0,0,0,0,0,0
25-08-2021,418.5,421.25,414.5,416.2,718145,1109.67436,1325.582947,47.792352,0,0,0,0,0,0,0,0,0
25-08-2021,1702.5,1716.7,1695,1698.2,1235950,1109.04436,1393.331502,50.28706012,1,0,0,0,0,0,0,0,0
25-08-2021,1555,1564.6,1548,1556.95,102726,1092.66436,1423.08032,51.83016453,0,0,0,0,0,0,0,0,0
25-08-2021,7035,7052,6920.55,6942.85,57161,1766.37936,2426.674807,56.39667292,1,0,0,0,0,0,0,0,0
25-08-2021,3612.8,3697,3608.95,3659.5,70032,2039.06101,2509.216193,53.90277406,0,0,0,0,1,0,0,0,0
26-08-2021,1736,1746,1720,1726.95,139366,2191.11601,2366.985976,50.01149741,1,0,0,0,0,0,0,0,0
26-08-2021,3668.8999,3687.1001,3649,3671.05,94445,2384.50101,2604.088526,56.32556202,0,0,0,0,0,0,0,0,0
26-08-2021,6905,6991.95,6855.05,6934.9,54294,2955.75,3223.716286,57.43363261,0,1,0,0,0,0,0,0,0
26-08-2021,1554.7,1571,1543.45,1554.85,81855,3069.615,2920.286052,51.82926646,1,0,0,0,0,0,0,0,0
26-08-2021,693,701.5,690,698.45,188982,2969.64,2516.315861,48.56459906,0,1,0,0,0,0,0,0,0
